Absorbance:209, 
797.551, 0.01
797.944, 0.01
798.338, 0.01
798.731, 0
799.125, 0.01
799.518, 0.01
799.912, 0
800.305, 0.01
800.698, 0.01
801.091, 0.01
801.484, 0
801.877, 0.01
802.27, 0
802.663, 0.01
803.056, 0.01
803.449, 0.01
803.842, 0.01
804.235, 0.01
804.627, 0
805.02, 0
805.412, 0.01
805.805, 0.01
806.197, 0.02
806.59, 0.02
806.982, 0.01
807.374, 0.01
807.766, 0.01
808.159, 0.02
808.551, 0.01
808.943, 0.01
809.335, 0.02
809.727, 0.02
810.118, 0.02
810.51, 0.01
810.902, 0.01
811.294, 0.02
811.685, 0.01
812.077, 0.02
812.468, 0.02
812.86, 0.02
813.251, 0.02
813.643, 0.02
814.034, 0.02
814.425, 0.02
814.816, 0.02
815.207, 0.03
815.598, 0.02
815.989, 0.02
816.38, 0.02
816.771, 0.02
817.162, 0.03
817.553, 0.02
817.944, 0.02
818.334, 0.03
818.725, 0.03
819.115, 0.03
819.506, 0.02
819.896, 0.03
820.287, 0.03
820.677, 0.03
821.067, 0.03
821.457, 0.03
821.848, 0.02
822.238, 0.03
822.628, 0.03
823.018, 0.02
823.408, 0.03
823.797, 0.03
824.187, 0.04
824.577, 0.04
824.967, 0.03
825.356, 0.03
825.746, 0.03
826.135, 0.04
826.525, 0.03
826.914, 0.04
827.304, 0.04
827.693, 0.03
828.082, 0.03
828.471, 0.04
828.86, 0.04
829.249, 0.03
829.638, 0.04
830.027, 0.04
830.416, 0.03
830.805, 0.04
831.194, 0.03
831.582, 0.04
831.971, 0.04
832.36, 0.04
832.748, 0.04
833.137, 0.04
833.525, 0.04
833.914, 0.05
834.302, 0.04
834.69, 0.04
835.078, 0.03
835.466, 0.04
835.854, 0.03
836.243, 0.05
836.63, 0.04
837.018, 0.05
837.406, 0.05
837.794, 0.04
838.182, 0.04
838.569, 0.05
838.957, 0.05
839.345, 0.04
839.732, 0.05
840.12, 0.04
840.507, 0.04
840.894, 0.06
841.282, 0.05
841.669, 0.05
842.056, 0.06
842.443, 0.05
842.83, 0.05
843.217, 0.06
843.604, 0.06
843.991, 0.06
844.378, 0.06
844.764, 0.05
845.151, 0.06
845.538, 0.05
845.924, 0.05
846.311, 0.05
846.697, 0.05
847.084, 0.06
847.47, 0.06
847.856, 0.05
848.242, 0.06
848.629, 0.07
849.015, 0.05
849.401, 0.06
849.787, 0.05
850.173, 0.06
850.559, 0.05
850.944, 0.05
851.33, 0.06
851.716, 0.05
852.102, 0.05
852.487, 0.06
852.873, 0.07
853.258, 0.06
853.644, 0.06
854.029, 0.06
854.414, 0.04
854.799, 0.05
855.185, 0.06
855.57, 0.05
855.955, 0.05
856.34, 0.06
856.725, 0.06
857.11, 0.06
857.495, 0.07
857.879, 0.06
858.264, 0.06
858.649, 0.06
859.033, 0.05
859.418, 0.05
859.802, 0.05
860.187, 0.06
860.571, 0.06
860.955, 0.05
861.34, 0.06
861.724, 0.06
862.108, 0.05
862.492, 0.05
862.876, 0.06
863.26, 0.05
863.644, 0.06
864.028, 0.06
864.412, 0.05
864.795, 0.05
865.179, 0.07
865.563, 0.06
865.946, 0.05
866.33, 0.06
866.713, 0.04
867.097, 0.06
867.48, 0.07
867.863, 0.07
868.246, 0.06
868.629, 0.06
869.013, 0.06
869.396, 0.04
869.779, 0.05
870.161, 0.06
870.544, 0.05
870.927, 0.05
871.31, 0.05
871.693, 0.04
872.075, 0.05
872.458, 0.06
872.84, 0.05
873.223, 0.05
873.605, 0.05
873.987, 0.05
874.37, 0.05
874.752, 0.05
875.134, 0.05
875.516, 0.05
875.898, 0.07
876.28, 0.06
876.662, 0.07
877.044, 0.04
877.426, 0.06
877.807, 0.05
878.189, 0.06
878.571, 0.06
878.952, 0.07
879.334, 0.07
879.715, 0.04
880.097, 0.05
880.478, 0.05
880.859, 0.06
881.24, 0.07
881.622, 0.05
882.003, 0.05
882.384, 0.05
882.765, 0.07
883.146, 0.06
883.526, 0.06
883.907, 0.04
884.288, 0.05
884.669, 0.07
885.049, 0.06
885.43, 0.06
885.81, 0.07
886.191, 0.05
886.571, 0.06
886.952, 0.05
887.332, 0.07
887.712, 0.07
888.092, 0.06
888.472, 0.06
888.852, 0.06
889.232, 0.07
889.612, 0.07
889.992, 0.06
890.372, 0.07
