FLMS05507_1:101, 
707.16, 16731.47
707.566, 17162.12
707.972, 16857.85
708.378, 17054.46
708.784, 17047.44
709.19, 16902.32
709.596, 17407.88
710.002, 17190.21
710.407, 16890.62
710.813, 16829.77
711.219, 17070.84
711.625, 17286.17
712.03, 16888.28
712.436, 17187.87
712.841, 16661.25
713.246, 16991.27
713.652, 16771.25
714.057, 16782.96
714.462, 16623.8
714.868, 16305.49
715.273, 16310.17
715.678, 16073.78
716.083, 15462.9
716.488, 14479.87
716.893, 13908.78
717.297, 13077.89
717.702, 12223.59
718.107, 11792.94
718.512, 11315.47
718.916, 10856.72
719.321, 11104.82
719.725, 10847.36
720.13, 11189.08
720.534, 11207.8
720.939, 12059.76
721.343, 12974.91
721.747, 12963.2
722.151, 13241.73
722.556, 13564.72
722.96, 13063.85
723.364, 13098.95
723.768, 12307.85
724.172, 12600.42
724.576, 11891.24
724.979, 11809.32
725.383, 11898.26
725.787, 11741.44
726.19, 11928.69
726.594, 11706.34
726.998, 11968.48
727.401, 11938.05
727.805, 11856.13
728.208, 11982.52
728.611, 11902.94
729.014, 11954.43
729.418, 11753.15
729.821, 12048.05
730.224, 12073.8
730.627, 12094.86
731.03, 12228.28
731.433, 12436.58
731.836, 12438.92
732.239, 12715.11
732.641, 13164.49
733.044, 13405.56
733.447, 13756.64
733.849, 13955.59
734.252, 13887.71
734.654, 13887.71
735.057, 14194.33
735.459, 14257.52
735.862, 13857.29
736.264, 13840.9
736.666, 14140.49
737.068, 14154.54
737.47, 14100.7
737.872, 14023.47
738.274, 14032.83
738.676, 14098.36
739.078, 14390.93
739.48, 14107.73
739.882, 13918.14
740.284, 13983.68
740.685, 14016.44
741.087, 14140.49
741.488, 14400.29
741.89, 13969.63
742.291, 14072.62
742.693, 14285.61
743.094, 14304.33
743.495, 14056.23
743.897, 14257.52
744.298, 13957.93
744.699, 14362.84
745.1, 14241.14
745.501, 14238.8
745.902, 13833.88
746.303, 14053.89
746.704, 13883.03
747.105, 13794.09
747.505, 13618.55
747.906, 13890.06
748.307, 13850.27
748.707, 13670.05
749.108, 13611.53
749.508, 13562.38
749.908, 13393.86
750.309, 13405.56
750.709, 13522.59
751.109, 13482.8
751.51, 13506.21
751.91, 13515.57
752.31, 13295.56
752.71, 13363.43
753.11, 13588.13
753.51, 13576.42
753.909, 13506.21
754.309, 13428.97
754.709, 13452.38
755.109, 13372.8
755.508, 13269.81
755.908, 12935.12
756.307, 12843.84
756.707, 13155.13
757.106, 12633.19
757.505, 12740.85
757.905, 12733.83
758.304, 12345.3
758.703, 11729.74
759.102, 10011.79
759.501, 8141.7
759.9, 6430.77
760.299, 4916.44
760.698, 4256.41
761.097, 4066.83
761.496, 4209.6
761.895, 4415.57
762.293, 4357.05
762.692, 4462.38
763.09, 4413.23
763.489, 4462.38
763.887, 4771.33
764.286, 5021.77
764.684, 5440.72
765.082, 5569.45
765.481, 6330.13
765.879, 6728.02
766.277, 7072.07
766.675, 7605.72
767.073, 8122.98
767.471, 8392.14
767.869, 8914.08
768.267, 9047.49
768.664, 9328.35
769.062, 9204.3
769.46, 9656.03
769.857, 9548.36
770.255, 9473.46
770.653, 9515.59
771.05, 9262.82
771.447, 9375.16
771.845, 9227.71
772.242, 9471.12
772.639, 9318.99
773.036, 9047.49
773.433, 9276.86
773.831, 9026.42
774.228, 9091.96
774.624, 9042.81
775.021, 9033.44
775.418, 9120.04
775.815, 9141.11
776.212, 8860.24
776.608, 8942.16
777.005, 8825.14
777.401, 8991.31
777.798, 8635.55
778.194, 8644.91
778.591, 8677.68
778.987, 8534.91
779.383, 8457.67
779.78, 8602.79
780.176, 8331.28
780.572, 8385.12
780.968, 8160.42
781.364, 8186.17
781.76, 8122.98
782.156, 8211.92
782.551, 8137.02
782.947, 7940.41
783.343, 8055.1
783.739, 7917.01
784.134, 7942.75
784.53, 7975.52
784.925, 7769.55
785.321, 7858.49
785.716, 7767.21
786.111, 7774.24
786.507, 7509.76
786.902, 7495.71
787.297, 7357.62
787.692, 7402.09
788.087, 7334.21
788.482, 7231.23
788.877, 7069.73
789.272, 6943.35
789.667, 6873.13
790.061, 7001.86
790.456, 6744.4
790.851, 6739.72
791.245, 6901.22
791.64, 6674.18
792.034, 6704.61
792.429, 6599.29
792.823, 6704.61
793.217, 6618.01
793.612, 6508.01
794.006, 6791.21
794.4, 6657.8
794.794, 6430.77
795.188, 6536.09
795.582, 6557.16
795.976, 6252.89
796.37, 6206.08
796.763, 6372.25
797.157, 6440.13
797.551, 6262.25
797.944, 6353.53
798.338, 6133.52
798.731, 6278.63
799.125, 6119.48
799.518, 5988.41
